1:rule 1: DeltaProc_start
2:rule 2: ZZfence_null
4:rule 3: ZZstarttest1
6:rule 4: init_platform
7:rule 5: ZZfence_null
9:rule 6: ZZstarttest1
11:rule 7: ZZbspush_ca_boa__2
14:rule 8: ZZstarttest3
16:rule 9: ZZstarttest4
18:rule 10: ZZstarttest5
20:rule 11: ZZstarttest6
22:rule 12: ZZstarttest7
24:rule 13: ZZstarttest8
27:rule 14: ZZstarttest2
29:rule 15: set_global_constants
30:rule 16: ZZfence_null
32:rule 17: ZZstarttest1
35:rule 18: ZZfence_null
37:rule 19: ZZstarttest1
40:rule 20: ZZfence_null
44:rule 21: ZZstarttest2
47:rule 22: ZZstarttest3
49:rule 23: set_lang_global_constants
50:rule 24: ZZfence_null
52:rule 25: ZZstarttest1
54:rule 26: set_span_global_constants
55:rule 27: ZZfence_null
60:rule 28: ZZstarttest3
62:rule 29: init_vars
63:rule 30: ZZfence_null
65:rule 31: ZZnpush_s_1
67:rule 32: ZZinsert_l_1_1_ZZstring72
69:rule 33: ZZlpta_loadp_vvg0091
71:rule 34: ZZstarttest1
73:rule 35: init_lang_vars
74:rule 36: ZZfence_null
76:rule 37: ZZstarttest1
78:rule 38: init_span_vars
79:rule 39: ZZfence_null
81:rule 40: ZZnpush_s_1
83:rule 41: ZZnpush_s_1
88:rule 42: ZZstarttest4
90:rule 43: ZZstarttest5
92:rule 44: ZZstarttest6
95:rule 45: DeltaProc_process_remaining
96:rule 46: ZZfence_null
98:rule 47: ZZstarttest1
101:rule 48: ZZget_parmINT
103:rule 49: ZZfence_null
105:rule 50: ZZstarttest1
107:rule 51: ZZlpta_load_vvg__setscan_0001r__1
109:rule 52: ZZlpta_loadp__test_ptr
111:rule 53: ZZstarttest2
113:rule 54: reset_sent_vars
114:rule 55: ZZfence_null
116:rule 56: ZZstarttest1
118:rule 57: ZZlpta_load_vvg__setscan_0001r__1
120:rule 58: ZZbspush_ca_scan__2
122:rule 59: ZZsavescptr3
124:rule 60: ZZstarttest4
126:rule 61: reset_lang_sent_vars
127:rule 62: ZZfence_null
129:rule 63: ZZstarttest1
131:rule 64: ZZstarttest2
133:rule 65: reset_span_sent_vars
134:rule 66: ZZfence_null
138:rule 67: ZZstarttest5
140:rule 68: reset_phrase_vars
141:rule 69: ZZfence_null
143:rule 70: ZZstarttest1
146:rule 71: ZZget_parmINT
148:rule 72: ZZfence_null
150:rule 73: ZZstarttest1
154:rule 74: ZZstarttest6
157:rule 75: ZZfence_null
159:rule 76: ZZstarttest1
163:rule 77: ZZstarttest3
165:rule 78: ZZbspush_ca_boa__4
167:rule 79: get_tok
168:rule 80: ZZfence_null
170:rule 81: ZZstarttest1
172:rule 82: ZZstarttest2
174:rule 83: ZZbspush_ca_boa__3
177:rule 84: ZZfence_null
179:rule 85: ZZstarttest1
181:rule 86: ZZlpta_loadp__test_ptr
183:rule 87: ZZstarttest1
185:rule 88: print_prompt
186:rule 89: ZZfence_null
189:rule 90: ZZstartloop2
191:rule 91: ZZstarttest4
193:rule 92: ZZstarttest4
195:rule 93: ZZbspush_ca_boa__5
198:rule 94: ZZstarttest6
201:rule 95: ZZstarttest10
204:rule 96: ZZstarttest16
207:rule 97: ZZstarttest9
210:rule 98: ZZstarttest30
212:rule 99: ZZstarttest30
214:rule 100: ZZlpta_load_vvg__setscan_0091l__1
216:rule 101: ZZbspush_ca_scan_boa__31
218:rule 102: ZZtestFldeq1_0_72
222:rule 103: ZZstarttest32
225:rule 104: ZZinsert_l_1_1_ZZstring72
227:rule 105: ZZinsert_2ptv1
229:rule 106: ZZstarttest35
232:rule 107: ZZstarttest40
234:rule 108: ZZlpta_loadp_vvg0091
236:rule 109: ZZstarttest41
238:rule 110: ZZstarttest42
240:rule 111: ZZstarttest46
242:rule 112: ZZstarttest4
244:rule 113: ZZstarttest4
246:rule 114: ZZbspush_ca_boa__5
249:rule 115: ZZstarttest6
252:rule 116: ZZstarttest10
255:rule 117: ZZstarttest16
258:rule 118: ZZstarttest9
261:rule 119: ZZstarttest30
263:rule 120: ZZstarttest32
266:rule 121: ZZinsert_l_1_1_ZZstring72
268:rule 122: ZZinsert_2ptv1
270:rule 123: ZZstarttest35
273:rule 124: ZZstarttest40
275:rule 125: ZZstarttest41
277:rule 126: ZZstarttest42
279:rule 127: ZZstarttest46
281:rule 128: ZZstarttest4
283:rule 129: ZZstarttest4
285:rule 130: ZZbspush_ca_boa__5
288:rule 131: ZZstarttest6
291:rule 132: ZZstarttest10
294:rule 133: ZZstarttest16
297:rule 134: ZZstarttest9
300:rule 135: ZZstarttest30
302:rule 136: ZZstarttest32
305:rule 137: ZZinsert_l_1_1_ZZstring72
307:rule 138: ZZinsert_2ptv1
309:rule 139: ZZstarttest35
312:rule 140: ZZstarttest40
314:rule 141: ZZstarttest41
316:rule 142: ZZstarttest42
318:rule 143: ZZstarttest46
320:rule 144: ZZstarttest4
322:rule 145: ZZstarttest4
324:rule 146: ZZbspush_ca_boa__5
327:rule 147: ZZstarttest6
330:rule 148: ZZstarttest10
333:rule 149: ZZstarttest16
335:rule 150: ZZstarttest17
339:rule 151: ZZstarttest4
342:rule 152: ZZfence_null
344:rule 153: ZZstarttest1
346:rule 154: ZZstarttest5
348:rule 155: ZZlpta_load_vvg__setscan_0091l__1
350:rule 156: ZZlpta_loadp__test_ptr
352:rule 157: ZZinsert_2ptv0
355:rule 158: ZZstarttest5
357:rule 159: ZZstarttest13
359:rule 160: ZZtest_string_s_1_1_ZZstring153
364:rule 161: ZZstarttest1
366:rule 162: ZZstartloop7
368:rule 163: ZZstarttest9
370:rule 164: get_input
371:rule 165: ZZfence_null
373:rule 166: ZZstarttest1
376:rule 167: ZZget_parmINT
378:rule 168: ZZfence_null
380:rule 169: ZZstarttest1
383:rule 170: ZZfence_null
385:rule 171: ZZstarttest1
387:rule 172: count_cumulative_chars
388:rule 173: ZZget_parm_ptr2
390:rule 174: ZZget_parmINT
392:rule 175: ZZpush_ptr_init2
394:rule 176: ZZfence_null
396:rule 177: ZZstartloop1
398:rule 178: ZZlpta_load_move_storepr_1
400:rule 179: ZZlpta_load_move_storepr_1
405:rule 180: ZZstarttest2
408:rule 181: ZZget_parmPTR
410:rule 182: ZZget_parmINT
412:rule 183: ZZfence_null
414:rule 184: ZZstarttest1
416:rule 185: ZZlpta_load__setscan_r__1
418:rule 186: ZZlpta_loadp__test_ptr
420:rule 187: ZZstarttest2
422:rule 188: ZZstarttest3
426:rule 189: ZZstarttest2
429:rule 190: ZZget_parmINT
431:rule 191: ZZfence_null
433:rule 192: ZZstarttest1
436:rule 193: ZZstartloop3
438:rule 194: ZZstarttest5
441:rule 195: ZZfence_null
443:rule 196: ZZstarttest1
445:rule 197: ZZstarttest2
447:rule 198: ZZbspush_ca_boa__3
450:rule 199: ZZfence_null
452:rule 200: ZZstarttest1
454:rule 201: ZZlpta_loadp__test_ptr
456:rule 202: ZZstartloop2
458:rule 203: ZZstarttest4
460:rule 204: ZZstarttest6
463:rule 205: ZZstarttest10
466:rule 206: ZZstarttest16
468:rule 207: ZZstarttest17
470:rule 208: ZZstarttest20
472:rule 209: ZZbspush_ca_boa__21
475:rule 210: ZZstarttest22
478:rule 211: ZZstarttest23
